Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
5286 Dunstable High St Esso Express,Convenience Central,SOUTH EAST,"£6,340",203,£28.21,£2.51,11.2,143,1.4,28.4,99.00%,99.60%,8,12,3,2,3
5287 Hazel Grove Esso Express,Convenience North,NORTH WEST,"£5,206",136,£35.27,£2.76,12.8,110,1.2,27.6,100.00%,97.60%,8,10,5,2,3
5309 Manchester Quay St Express,Convenience North,NORTH WEST,"£4,268",123,£31.76,£2.82,11.3,95,1.3,43.1,80.20%,99.70%,11,24,3,1,4
5310 Cardiff Salisbury Rd Express,Convenience South,WALES,£205,6,£30.44,£2.37,12.8,4,1.5,22.5,83.30%,97.70%,3,13,2,1,4
5311 Penge Croydon Rd Express,Convenience London,GREATER LONDON,"£3,236",106,£27.54,£2.73,10.1,84,1.3,19.8,99.10%,98.50%,4,10,3,1,1
5312 Argyle St Express,Convenience North,WEST SCOTLAND,£722,20,£33.04,£3.15,10.5,13,1.5,34.8,90.50%,98.30%,6,21,4,2,2
5314 Huntington Rd Express,Convenience North,NORTH EAST,"£3,537",109,£29.42,£2.35,12.5,84,1.3,37.4,85.30%,97.40%,8,20,4,2,5
5316 Parkstone Bournemouth Rd Express,Convenience South,SOUTH CENTRAL,"£4,695",145,£29.47,£2.99,9.8,111,1.3,35.2,88.20%,98.30%,5,23,3,1,3
5318 Birmingham Rd Sutton Express,Convenience Central,MIDLANDS,"£2,667",78,£31.21,£2.91,10.7,53,1.5,19.3,100.00%,98.80%,5,7,4,2,2
5320 Hatfield Station Rd Express,Convenience North,NORTH EAST,"£3,108",98,£28.77,£2.35,12.3,76,1.3,31.1,90.80%,98.40%,5,17,5,2,3
5321 Brighton Jubilee St Express,Convenience South,SOUTH EAST,"£7,042",226,£28.11,£2.65,10.6,171,1.3,34.4,91.50%,97.60%,11,17,3,1,2
5323 Hindley Green Express,Convenience North,NORTH WEST,"£8,549",265,£29.20,£2.58,11.3,190,1.4,27.8,96.60%,99.40%,7,15,3,2,1
5324 Grangetown Corporation Rd Express,Convenience South,WALES,"£2,343",76,£27.74,£2.58,10.8,55,1.4,27.7,97.40%,99.80%,6,16,3,1,2
5338 Dosthill Esso Express,Convenience Central,MIDLANDS,£669,22,£27.38,£2.71,10.1,19,1.2,25.3,95.50%,98.20%,5,13,2,2,3
5339 Dalhousie Esso Express,Convenience North,EAST SCOTLAND,"£2,016",53,£35.15,£2.75,12.8,37,1.4,58.3,64.20%,99.50%,5,44,4,2,3
5340 Silksworth Rd Esso Express,Convenience North,NORTH EAST,"£5,441",173,£28.42,£2.63,10.8,125,1.4,32.8,90.70%,99.80%,9,16,2,1,4
5342 Vauxhall Express,Convenience London,GREATER LONDON,"£1,419",48,£26.58,£2.31,11.5,32,1.5,26.8,91.70%,98.10%,7,12,4,2,2
5343 Colchester Crouch St Express,Convenience Central,SOUTH EAST,"£10,476",317,£29.92,£2.44,12.3,222,1.4,29.2,96.20%,99.30%,8,13,4,2,2
5347 Willesden Ln Kilburn Express,Convenience London,GREATER LONDON,"£1,068",34,£28.26,£2.99,9.4,23,1.5,18.6,100.00%,99.20%,5,8,3,1,1
5348 Leeds Easterly Rd Express,Convenience North,NORTH EAST,"£7,114",235,£27.13,£2.44,11.1,176,1.3,28.8,95.30%,99.30%,10,11,3,1,3
5350 Accrington Abbey St Esso Express,Convenience North,NORTH WEST,"£12,795",415,£27.67,£2.64,10.5,285,1.5,20.4,98.80%,98.00%,6,7,3,2,2
5351 Scarborough Burniston Rd Express,Convenience North,NORTH EAST,"£2,820",94,£26.95,£2.80,9.6,55,1.7,34,92.60%,96.30%,6,21,3,2,2
5352 Pokesdown Express,Convenience South,SOUTH CENTRAL,"£3,461",111,£28.18,£2.95,9.5,76,1.5,28.7,97.20%,98.80%,5,11,4,1,7
5357 Hatch End Express,Convenience London,SOUTH EAST,"£2,515",84,£26.68,£2.34,11.4,54,1.6,22.2,100.00%,97.90%,6,10,3,1,2
5358 Streatham Place Express,Convenience London,GREATER LONDON,"£5,747",177,£29.51,£2.66,11.1,120,1.5,28.4,93.80%,97.10%,7,14,4,1,2
5359 Blidworth Express,Convenience North,MIDLANDS,"£4,871",142,£31.27,£2.42,12.9,102,1.4,32,92.20%,98.00%,6,17,4,2,3
5360 Hull Beverley Rd Express,Convenience North,NORTH EAST,"£2,960",84,£32.23,£2.85,11.3,49,1.7,23,100.00%,99.00%,6,9,4,2,2
5365 Slough Wexham Rd Express,Convenience South,SOUTH EAST,"£7,481",233,£28.91,£2.67,10.8,150,1.6,22.3,99.60%,99.40%,6,10,3,2,2
5366 Bedminster Express,Convenience South,SOUTH CENTRAL,"£6,295",206,£27.43,£2.47,11.1,139,1.5,25.6,97.60%,95.90%,9,10,3,1,3
5367 Kilmarnock Rd Express,Convenience North,WEST SCOTLAND,"£4,708",129,£33.39,£2.87,11.6,100,1.3,28.5,99.20%,99.00%,7,12,4,3,2
5368 Nottingham Hucknall Rd Express,Convenience Central,MIDLANDS,"£2,909",94,£27.86,£2.71,10.3,59,1.6,22.4,99.00%,99.60%,6,11,3,1,1
5370 Salvington Rectory Rd Express,Convenience South,SOUTH EAST,"£3,177",98,£29.40,£2.41,12.2,82,1.2,26,95.90%,98.50%,4,14,4,2,2
5371 Ashtead Craddocks Express,Convenience London,SOUTH EAST,"£6,727",198,£30.97,£2.81,11,143,1.4,33.3,96.00%,99.00%,6,19,4,2,2
5372 Waltham Cross Theobalds Park Express,Convenience Central,SOUTH EAST,"£1,543",60,£22.56,£2.18,10.4,56,1.1,32.3,95.00%,96.10%,8,17,3,1,4
5373 Normanby Express,Convenience North,NORTH EAST,"£8,123",252,£29.14,£2.91,10,170,1.5,29,97.60%,98.70%,7,15,3,2,2
5374 Sutton Brighton Rd Express,Convenience London,SOUTH EAST,"£6,042",199,£27.25,£2.82,9.7,128,1.6,22.4,98.50%,99.60%,5,11,3,1,2
5377 Benfleet Rd Express,Convenience Central,SOUTH EAST,"£6,444",181,£32.56,£2.30,14.2,158,1.1,25.4,97.30%,99.80%,7,12,4,1,2
5380 Barbican Express,Convenience London,GREATER LONDON,£241,8,£27.30,£1.82,15,6,1.3,27.3,100.00%,98.90%,7,11,5,4,1
5383 Harringay Express,Convenience London,GREATER LONDON,"£2,502",86,£26.01,£2.52,10.3,64,1.3,27.6,93.00%,98.50%,6,15,4,1,2
5384 Isleworth Express,Convenience London,SOUTH EAST,"£5,281",180,£26.39,£2.64,10,125,1.4,23.1,98.90%,97.70%,6,12,2,1,2
5386 Birmingham Bournville Esso Express,Convenience Central,MIDLANDS,"£5,561",146,£35.05,£2.96,11.8,99,1.5,26.4,98.00%,99.40%,7,11,4,1,2
5387 Wigan Poolstock Ln Express,Convenience North,NORTH WEST,"£3,346",104,£29.15,£2.39,12.2,79,1.3,31.7,92.30%,97.70%,6,17,4,2,2
5388 West Ealing Express,Convenience London,GREATER LONDON,"£10,788",300,£32.93,£2.55,12.9,235,1.3,27.6,95.00%,98.10%,7,11,4,1,4
5391 Hounslow Bath Rd Express,Convenience London,SOUTH EAST,"£2,328",81,£25.66,£2.84,9,61,1.3,23.4,97.50%,99.50%,7,11,3,1,2
5392 Birmingham Jewellery Quarter Express,Convenience Central,MIDLANDS,"£2,608",81,£28.97,£2.53,11.4,63,1.3,27.4,97.50%,100.00%,8,11,4,1,2
5393 Ashby Express,Convenience North,MIDLANDS,"£3,503",110,£28.73,£2.50,11.5,85,1.3,27.6,96.40%,98.00%,6,14,4,2,2
5397 Wolverhampton Willenhall Rd Express,Convenience Central,MIDLANDS,"£5,251",157,£30.40,£2.74,11.1,102,1.5,22.7,99.40%,99.70%,7,10,3,1,2
5398 Bletchley Buckingham Rd Express,Convenience Central,SOUTH EAST,"£5,161",161,£28.95,£2.66,10.9,121,1.3,31.6,94.40%,99.10%,8,17,3,1,2
5399 Heald Green Express,Convenience North,NORTH WEST,"£6,691",191,£31.94,£2.54,12.6,140,1.4,33.7,94.80%,99.20%,9,14,4,1,5
5400 Preston Blackpool Rd Express,Convenience North,NORTH WEST,"£5,000",152,£29.79,£2.74,10.9,94,1.6,24.4,98.00%,99.70%,6,11,4,2,2
5401 Southampton Cobden Ave Express,Convenience South,SOUTH CENTRAL,"£3,576",120,£26.73,£2.84,9.4,76,1.6,27.4,96.70%,96.90%,5,14,4,1,2
5402 Hull Spring Bank Express,Convenience North,NORTH EAST,"£3,776",112,£30.71,£2.94,10.4,71,1.6,23.4,99.10%,97.80%,6,10,4,1,2
5403 Penn Rd Express,Convenience Central,MIDLANDS,"£4,209",124,£30.99,£2.47,12.5,92,1.3,22.2,100.00%,98.00%,6,7,4,2,3
5404 Hackney Express,Convenience London,GREATER LONDON,"£2,366",81,£26.14,£2.62,10,56,1.4,25.4,100.00%,100.00%,4,14,2,4,1
5406 Tesco Rawtenstall,Large North,NORTH WEST,"£6,239",158,£36.44,£2.52,14.4,116,1.4,34.6,89.20%,98.20%,9,12,7,2,4
5408 Chelmsford Interchange Express,Convenience Central,SOUTH EAST,"£3,008",93,£29.48,£2.49,11.8,69,1.3,39.4,81.70%,99.10%,6,24,3,4,3
5409 Glengormley Express,NI Convenience,NORTHERN IRELAND,"£2,540",77,£29.88,£2.14,13.9,63,1.2,37.7,85.70%,98.30%,9,19,6,1,3
5412 Billingham Bypass Esso Express,Convenience North,NORTH EAST,"£7,006",211,£30.08,£2.71,11.1,153,1.4,32.7,91.60%,99.60%,7,19,3,2,2
5415 Hemel Hempstead Barnacres Express,Convenience Central,SOUTH EAST,"£8,305",276,£26.98,£2.62,10.3,199,1.4,23.9,98.90%,98.50%,6,11,3,2,2
5416 Holderness Rd Express,Convenience North,NORTH EAST,"£3,718",128,£26.01,£2.63,9.9,91,1.4,22.6,98.40%,97.90%,7,8,3,2,2
5417 Mansfield Rd Express,Convenience Central,MIDLANDS,"£3,650",107,£31.14,£3.03,10.3,78,1.4,25,99.10%,99.90%,8,11,3,1,2
5418 Whitechapel Express,Convenience London,GREATER LONDON,£959,36,£23.63,£2.45,9.6,35,1,34.6,94.70%,94.80%,9,12,4,5,4
5419 Prestwick Main St Express,Convenience North,WEST SCOTLAND,£879,29,£26.75,£2.92,9.2,21,1.4,43.1,79.30%,99.20%,5,29,5,2,3
5420 Tooting Upper Tooting Rd Express,Convenience London,GREATER LONDON,£836,29,£25.66,£2.11,12.2,26,1.1,24,100.00%,98.50%,4,12,5,1,1
5423 Clarkston Express,Convenience North,WEST SCOTLAND,"£4,839",124,£35.95,£2.73,13.2,81,1.5,33.3,96.80%,98.50%,7,16,5,3,3
5425 Kirkby In Ashfield Esso Express,Convenience North,MIDLANDS,"£3,368",98,£31.19,£2.84,11,73,1.3,27.5,97.00%,98.00%,7,13,4,2,2
5427 Ovenden Esso Express,Convenience North,NORTH EAST,"£6,630",207,£28.98,£2.58,11.2,140,1.5,24.8,99.00%,98.80%,6,10,4,2,3
5430 Isle Of Dogs Express,Convenience London,GREATER LONDON,"£2,128",67,£28.74,£2.53,11.4,54,1.2,28.3,95.60%,100.00%,7,14,3,2,2
5431 Hull Newland Ave Express,Convenience North,NORTH EAST,"£4,843",156,£27.99,£2.37,11.8,108,1.4,25.9,98.70%,95.70%,9,8,4,1,3
5432 Greenwich Express,Convenience London,GREATER LONDON,"£4,320",125,£31.49,£2.39,13.2,96,1.3,34.6,91.10%,98.40%,8,18,5,1,3
5433 Newport Chepstow Rd Esso Express,Convenience South,WALES,"£9,688",311,£28.06,£2.74,10.2,216,1.4,29.1,98.70%,99.40%,7,11,4,2,5
5434 Lanehouse Rocks Rd Esso Express,Convenience South,SOUTH CENTRAL,"£2,173",53,£37.98,£2.84,13.4,36,1.5,36.6,84.60%,99.60%,4,25,3,2,1
5435 Ardwick Green Esso Express,Convenience North,NORTH WEST,"£1,072",35,£27.37,£2.40,11.4,31,1.1,44.1,77.10%,97.80%,9,25,4,3,3
5436 Cardiff Canton Express,Convenience South,WALES,"£6,578",188,£31.86,£2.61,12.2,153,1.2,27.4,96.80%,98.40%,8,11,4,1,4
5439 Ealing Broadway Express,Convenience London,GREATER LONDON,"£3,244",93,£31.98,£2.68,11.9,72,1.3,38.3,90.10%,99.00%,7,17,6,1,7
5443 Bury Tottington Rd Express,Convenience North,NORTH WEST,"£3,877",116,£30.39,£2.75,11.1,84,1.4,21.8,98.20%,98.50%,4,12,3,1,2
5444 Downham Bromley Rd Express,Convenience London,SOUTH EAST,"£9,044",290,£28.13,£2.83,10,168,1.7,22.6,99.70%,99.30%,6,12,3,1,1
5445 Allestree Express,Convenience Central,MIDLANDS,"£2,061",57,£32.99,£3.46,9.5,35,1.6,20.5,98.20%,98.90%,5,9,3,2,2
5446 Charlton Express,Convenience South,SOUTH CENTRAL,"£3,436",122,£25.06,£2.36,10.6,101,1.2,41.5,86.60%,97.90%,6,25,3,2,5
5448 Liverpool Crosby Rd Express,Convenience North,NORTH WEST,"£4,153",135,£27.92,£2.65,10.5,102,1.3,33.6,89.40%,98.80%,6,18,3,1,4
5450 Hull Bricknell Ave Express,Convenience North,NORTH EAST,"£8,813",263,£30.45,£2.59,11.8,177,1.5,24.4,98.90%,97.80%,9,9,3,1,2
5451 Hesketh Esso Express,Convenience North,NORTH WEST,"£5,633",166,£30.92,£3.15,9.8,108,1.5,37.4,86.70%,98.80%,6,23,4,2,3
5453 Highbury Express,Convenience London,GREATER LONDON,"£2,553",83,£27.67,£2.20,12.6,62,1.3,33.8,94.00%,100.00%,6,20,3,2,3
5455 Codnor Express,Convenience Central,MIDLANDS,"£7,732",264,£26.22,£2.65,9.9,170,1.6,26.4,97.30%,98.20%,7,11,4,2,3
5460 Clifton Lee Esso Express,Convenience London,GREATER LONDON,"£3,021",97,£28.00,£2.54,11,75,1.3,31.4,87.80%,100.00%,6,18,3,2,3
5461 Farnham Common Express,Convenience South,SOUTH EAST,"£1,710",49,£31.81,£2.68,11.9,37,1.3,23.6,100.00%,97.10%,7,10,3,2,1
5464 Stonycroft Queens Dr Esso Express,Convenience North,NORTH WEST,"£4,498",150,£27.05,£2.64,10.2,114,1.3,37.8,82.80%,97.80%,9,21,3,1,2
5468 Olympia Express,Convenience London,GREATER LONDON,"£1,901",63,£27.18,£2.22,12.3,57,1.1,28.4,93.70%,98.30%,6,16,3,2,2
5469 Stoke Newington High St Express,Convenience London,GREATER LONDON,"£3,662",115,£28.86,£2.66,10.8,76,1.5,35.5,87.70%,99.10%,7,18,5,2,4
5470 West Norwood Express,Convenience London,GREATER LONDON,"£2,942",92,£28.86,£2.51,11.5,74,1.2,27.9,94.60%,98.40%,6,15,4,1,2
5472 Plomer Green Ave Express,Convenience South,SOUTH EAST,"£1,896",65,£26.06,£2.80,9.3,49,1.3,21.3,98.50%,98.60%,5,10,3,2,1
5475 Portsmouth Rd Express,Convenience South,SOUTH CENTRAL,"£7,234",227,£28.80,£2.46,11.7,168,1.4,27.8,96.00%,98.80%,7,12,4,2,3
5476 Scarborough Castle Express,Convenience North,NORTH EAST,"£3,928",121,£29.34,£2.96,9.9,84,1.4,28.1,96.70%,100.00%,6,15,3,2,3
5477 Enfield Windmill Hill Express,Convenience London,SOUTH EAST,"£7,944",279,£25.37,£2.59,9.8,202,1.4,19.3,99.60%,99.50%,5,7,3,2,2
5478 Ashford Express,Convenience London,SOUTH EAST,"£11,824",389,£27.31,£2.62,10.4,271,1.4,22.3,99.00%,98.40%,6,10,3,1,3
5479 Hale Express,Convenience North,NORTH WEST,"£4,798",112,£39.92,£2.97,13.4,82,1.4,38.2,91.20%,97.70%,7,21,4,1,5
5480 Sauchiehall St Express,Convenience North,WEST SCOTLAND,£479,14,£31.27,£2.61,12,14,1,42.5,64.30%,98.70%,8,23,3,2,7
5482 Swansea De La Beche St Express,Convenience South,WALES,"£1,933",60,£29.23,£2.79,10.5,39,1.5,30.6,96.60%,99.60%,6,18,4,1,2
5484 Craiglockhart Express,Convenience North,EAST SCOTLAND,"£5,138",138,£34.02,£2.94,11.6,106,1.3,40,89.40%,99.50%,8,24,3,3,3
5485 Yorkhill Express,Convenience North,WEST SCOTLAND,£939,29,£29.43,£3.41,8.6,17,1.7,30.8,86.20%,99.10%,4,21,3,2,1
5486 Stoke Newington Green Lanes Express,Convenience London,GREATER LONDON,"£2,194",70,£28.34,£2.46,11.5,50,1.4,31.6,87.50%,95.90%,4,14,4,2,8
5487 Seven Sisters Rd Express,Convenience London,GREATER LONDON,"£3,400",103,£29.89,£2.64,11.3,86,1.2,41.3,83.70%,98.10%,8,24,4,2,3
5488 Cardiff City Rd Express,Convenience South,WALES,"£1,116",34,£29.73,£2.37,12.5,24,1.4,25,100.00%,98.40%,3,11,4,1,5
5489 Hills Rd Cambridge Express,Convenience Central,EAST ANGLIA,£616,14,£40.87,£2.87,14.2,13,1.1,26.2,100.00%,96.30%,5,14,4,1,2
5494 Streatham High St Express,Convenience London,GREATER LONDON,"£6,380",202,£28.58,£2.68,10.7,128,1.6,21.2,99.00%,98.90%,6,9,3,1,2
5495 Hinckley Express,Convenience Central,MIDLANDS,"£6,696",190,£32.19,£2.49,12.9,153,1.2,29.7,95.20%,99.70%,7,14,4,2,3
5496 Middlesbrough Marton Rd Express,Convenience North,NORTH EAST,"£4,285",143,£26.84,£2.32,11.6,91,1.6,28.3,97.20%,98.80%,7,15,3,1,2
5498 Kings Heath Express,Convenience Central,MIDLANDS,"£4,353",128,£31.05,£2.57,12.1,88,1.5,22.5,96.90%,99.40%,5,10,3,1,2
5500 Kelham Island Express,Convenience North,NORTH EAST,"£2,047",67,£27.83,£2.77,10.1,57,1.2,37.6,87.90%,97.60%,10,20,4,1,2
5501 Southgate Rd Express,Convenience London,GREATER LONDON,"£1,074",35,£27.51,£2.60,10.6,23,1.5,28.1,85.30%,100.00%,4,19,3,1,1
5502 Cardiff Maes Y Coed Express,Convenience South,WALES,"£3,530",108,£29.60,£2.75,10.8,83,1.3,31.4,93.60%,99.10%,9,15,3,1,4
5506 Edgbaston Hagley Rd Express,Convenience Central,MIDLANDS,"£4,637",140,£30.10,£2.31,13.1,110,1.3,21.6,100.00%,99.40%,6,6,4,2,3
5507 Sheffield Barnsley Rd Express,Convenience North,NORTH EAST,"£6,243",182,£31.09,£2.29,13.6,138,1.3,30.8,97.20%,98.90%,10,14,3,1,3
5508 Shoreditch Express,Convenience London,GREATER LONDON,£559,18,£28.12,£2.30,12.2,14,1.3,19,100.00%,99.40%,3,7,5,3,2
5509 Hither Green Express,Convenience London,GREATER LONDON,"£5,090",165,£27.81,£2.70,10.3,114,1.4,29.4,89.10%,97.00%,6,15,4,1,3
5510 South Norwood Express,Convenience London,GREATER LONDON,"£6,373",205,£28.02,£2.51,11.2,140,1.5,18.1,99.50%,99.10%,4,8,4,1,1
5511 Wallington Woodcote Rd Express,Convenience London,SOUTH EAST,"£7,719",226,£31.07,£2.45,12.7,152,1.5,24.1,97.80%,98.80%,7,10,4,1,2
5512 Dyce Express,Convenience North,EAST SCOTLAND,"£3,188",91,£31.94,£2.97,10.7,63,1.4,57.3,57.60%,99.70%,6,43,3,2,3
5513 Lewisham Way Express,Convenience London,GREATER LONDON,"£3,108",102,£27.26,£2.54,10.8,69,1.5,27.1,96.10%,99.20%,6,13,4,1,3
5518 Borough Long Ln Express,Convenience London,GREATER LONDON,"£1,211",40,£27.23,£2.52,10.8,31,1.3,26.1,97.50%,99.10%,4,16,4,2,1
5519 Southampton Shirley Rd Express,Convenience South,SOUTH CENTRAL,"£5,426",167,£29.45,£2.98,9.9,109,1.5,20.5,97.60%,99.20%,5,8,3,1,2
5524 Taunton E Reach Esso Express,Convenience South,SOUTH CENTRAL,"£1,368",43,£28.79,£2.91,9.9,27,1.6,43,80.50%,98.70%,4,31,4,2,2
5526 Bath Englishcombe Ln Express,Convenience South,SOUTH CENTRAL,"£1,985",63,£28.36,£2.29,12.4,44,1.4,29.6,93.70%,98.60%,4,17,4,2,2
5529 Chorlton Esso Express,Convenience North,NORTH WEST,"£4,915",151,£29.63,£2.57,11.5,96,1.6,30.7,91.20%,98.00%,8,15,4,1,3
5530 Valley Dr Gravesend Express,Convenience South,SOUTH EAST,"£10,520",352,£26.81,£2.53,10.6,217,1.6,25.5,98.90%,99.10%,6,11,3,2,3
5531 Potters Bar Express,Convenience Central,SOUTH EAST,"£8,789",260,£30.77,£2.75,11.2,180,1.4,28.7,95.80%,99.10%,6,13,3,2,5
5532 Hampstead Belsize Rd Express,Convenience London,GREATER LONDON,"£2,415",75,£29.14,£2.76,10.6,51,1.5,26.3,90.70%,99.50%,5,15,3,1,1
5533 Bitterne Spring Rd Express,Convenience South,SOUTH CENTRAL,"£4,629",147,£28.38,£2.28,12.4,109,1.3,26.4,97.30%,99.20%,6,12,4,1,3
5536 Ayr Express,Convenience North,WEST SCOTLAND,"£6,850",201,£30.96,£2.67,11.6,140,1.4,31.8,93.50%,99.20%,7,18,3,2,2
5537 Maidstone Hermitage Ln Express,Convenience South,SOUTH EAST,"£1,851",62,£27.06,£2.62,10.3,43,1.4,31.1,90.30%,98.40%,6,16,3,2,5
5538 Mansfield Dukeries Esso Express,Convenience North,MIDLANDS,"£5,916",179,£29.92,£2.55,11.7,143,1.3,31.2,96.70%,98.00%,9,13,4,2,4
5539 ESSEX ROAD EXPRESS,Convenience London,GREATER LONDON,"£2,062",61,£30.69,£2.86,10.7,37,1.6,27.3,93.50%,99.20%,4,15,5,1,2
5541 Grappenhall Express,Convenience North,MIDLANDS,"£5,148",138,£34.28,£2.59,13.3,109,1.3,36.5,89.90%,99.20%,6,21,4,2,3
5542 Bathwick Hill Express,Convenience South,SOUTH CENTRAL,"£1,758",53,£30.21,£2.25,13.4,39,1.4,32.4,94.20%,98.10%,6,18,4,2,2
5545 Manninghm Ln Bradford Express,Convenience North,NORTH EAST,"£1,464",51,£25.40,£2.50,10.2,38,1.3,30.1,86.30%,99.20%,6,15,5,2,2
5546 Windsor Bridge Express,Convenience South,SOUTH CENTRAL,"£1,752",53,£29.88,£2.69,11.1,42,1.3,29.4,94.30%,99.80%,4,18,4,2,2
5549 Gornal Dudley Express,Convenience Central,MIDLANDS,"£7,156",225,£28.82,£2.53,11.4,147,1.5,28.1,93.30%,98.30%,6,14,4,1,3
5551 Huddersfield Halifax Express,Convenience North,NORTH EAST,"£3,350",99,£30.78,£2.89,10.6,81,1.2,32.9,86.90%,99.30%,7,18,3,2,2
5553 Ball Hill Walsgrave Rd Express,Convenience Central,MIDLANDS,"£11,767",363,£29.33,£2.59,11.3,275,1.3,25.8,99.70%,98.80%,9,8,4,2,2
5554 Bradford Bolton Express,Convenience North,NORTH EAST,"£3,063",100,£27.57,£2.98,9.3,79,1.3,22,99.00%,98.50%,5,8,3,2,4
5557 Sketty Gower Rd Express,Convenience South,WALES,"£10,470",285,£33.73,£2.85,11.8,193,1.5,31.9,92.30%,99.30%,9,15,4,2,3
5560 Tooting Broadway Express,Convenience London,GREATER LONDON,"£1,425",50,£25.48,£2.33,10.9,31,1.6,20.6,94.00%,98.80%,4,10,1,1,4
5561 Ruislip Park Way Express,Convenience London,SOUTH EAST,"£2,278",79,£25.70,£2.52,10.2,61,1.3,19.9,100.00%,98.20%,4,9,3,1,2
5565 Lisson Grove Express,Convenience London,GREATER LONDON,"£1,520",47,£29.27,£2.58,11.3,36,1.3,26,93.80%,98.30%,4,13,4,2,3
5568 Leeds Clarence Dock Express,Convenience North,NORTH EAST,"£1,553",49,£28.63,£1.94,14.8,32,1.5,35,91.80%,98.60%,8,19,4,2,3
5569 Rotherham Wortley Rd Esso Express,Convenience North,NORTH EAST,"£5,024",152,£30.04,£2.67,11.3,109,1.4,24.7,98.70%,99.30%,6,10,3,2,2
5575 St Neots Loves Farm Express,Convenience Central,EAST ANGLIA,"£10,257",298,£31.35,£2.71,11.6,208,1.4,32.7,91.60%,99.00%,6,18,3,2,3
5577 Sheepscar Esso Express,Convenience North,NORTH EAST,"£1,224",36,£31.02,£3.34,9.3,27,1.3,29,97.20%,99.60%,8,15,4,1,1
5579 Cardonald Esso Express,Convenience North,WEST SCOTLAND,"£3,227",106,£27.31,£2.09,13.1,83,1.3,28,98.10%,98.30%,7,12,4,3,2
5580 Carfin Express,Convenience North,WEST SCOTLAND,"£7,029",228,£27.79,£2.55,10.9,181,1.3,37.7,92.50%,99.50%,7,24,2,2,1
5581 LOWER HOLLOWAY EXPRESS,Convenience London,GREATER LONDON,"£1,144",35,£29.51,£2.39,12.3,27,1.3,28.6,94.30%,99.20%,6,16,4,2,2
5582 Bristol Soundwell Esso Express,Convenience South,SOUTH CENTRAL,"£3,042",101,£27.01,£2.32,11.6,76,1.3,28.8,90.10%,99.60%,7,15,3,1,3
5583 Priory Vale Express,Convenience South,SOUTH CENTRAL,"£4,091",115,£32.45,£2.39,13.6,85,1.4,28.3,97.40%,99.30%,6,15,3,2,1
5584 Acton Express,Convenience London,GREATER LONDON,"£2,911",87,£30.37,£2.50,12.1,73,1.2,33.9,93.10%,99.40%,9,19,4,1,1
5585 Monkstown Express,NI Convenience,NORTHERN IRELAND,"£1,718",50,£31.35,£2.21,14.2,40,1.3,30.6,93.90%,98.50%,7,17,4,1,2
5591 North Hykeham Express,Convenience Central,MIDLANDS,"£6,517",176,£34.00,£2.96,11.5,121,1.5,30.8,94.40%,99.60%,9,16,3,2,1
5593 Birstall Leicester Express,Convenience Central,MIDLANDS,"£1,546",48,£29.21,£2.37,12.3,40,1.2,28,100.00%,98.70%,6,14,4,2,2
5594 Milton Keynes Oxley Park Express,Convenience Central,SOUTH EAST,"£3,051",100,£27.35,£2.53,10.8,71,1.4,27.6,98.00%,99.60%,5,15,3,1,3
5595 Wallasey Poulton Rd Express,Convenience North,NORTH WEST,"£5,639",174,£29.28,£2.62,11.2,109,1.6,24.6,97.70%,98.20%,4,12,4,1,3
5602 Westhoughton Express,Convenience North,NORTH WEST,"£6,681",208,£29.13,£2.88,10.1,148,1.4,29.8,94.70%,98.90%,7,14,3,2,3
5603 Duke St Express,Convenience Central,EAST ANGLIA,"£7,023",215,£29.56,£2.78,10.6,147,1.5,28.7,93.50%,98.80%,8,13,3,3,2
5604 Bradford St Esso Express,Convenience North,NORTH WEST,"£7,524",236,£28.84,£2.63,11,169,1.4,31,93.00%,98.90%,10,14,4,1,3
5605 Kettering Windmill Ave Esso Express,Convenience Central,MIDLANDS,"£5,121",162,£28.52,£2.41,11.8,118,1.4,24.3,97.50%,99.00%,5,12,3,2,2
5607 Evesham Esso Express,Convenience Central,MIDLANDS,"£7,468",249,£26.81,£2.59,10.3,160,1.6,23.9,98.40%,99.80%,6,11,3,2,2
5608 Eltham High St Esso Express,Convenience London,GREATER LONDON,"£1,709",58,£26.41,£2.65,9.9,44,1.3,27.4,93.00%,98.80%,6,15,3,1,2
5611 Dagenham Heathway Express,Convenience London,SOUTH EAST,"£6,599",229,£25.77,£2.82,9.1,133,1.7,22.6,99.10%,99.00%,6,11,3,1,2
5618 Hedge End Express,Convenience South,SOUTH CENTRAL,"£7,730",231,£30.39,£2.58,11.8,140,1.7,25.2,98.30%,98.50%,5,12,3,2,3
5619 Eastham Rake Express,Convenience North,MIDLANDS,"£4,134",130,£28.69,£2.51,11.4,90,1.4,38,91.60%,99.10%,7,23,3,2,3
5620 Kingsbury Circle Express,Convenience London,GREATER LONDON,"£1,710",57,£26.73,£2.81,9.5,36,1.6,23.7,94.70%,97.60%,6,11,4,1,1
