Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
6699 Northumberland Express,Convenience London,SOUTH EAST,"£3,907",132,£26.56,£2.53,10.5,101,1.3,24.8,99.20%,98.00%,7,10,4,1,3
6704 Sheffield Broomhill Express,Convenience North,NORTH EAST,"£2,623",66,£36.76,£2.93,12.5,55,1.2,38.3,87.70%,98.20%,8,22,3,2,3
6707 Kensal Rise Chamberlayne Rd Express,Convenience London,GREATER LONDON,"£1,886",61,£27.90,£2.77,10.1,44,1.4,21.1,98.30%,98.90%,4,11,3,1,2
6708 Dundee Nethergate Express,Convenience North,EAST SCOTLAND,"£1,832",59,£27.98,£2.34,11.9,51,1.2,40.1,86.70%,99.40%,8,22,4,3,4
6709 Deptford Express,Convenience London,GREATER LONDON,"£4,719",152,£28.04,£2.62,10.7,105,1.4,32,90.30%,99.40%,6,17,4,1,3
6711 Liverpool Leathers Ln Express,Convenience North,NORTH WEST,"£4,683",151,£27.73,£2.88,9.6,109,1.4,33.3,92.80%,98.20%,7,16,4,2,4
6715 Gateshead Express,Convenience North,NORTH EAST,"£6,029",189,£29.00,£2.70,10.8,153,1.2,38.2,80.70%,98.40%,8,21,4,1,4
6716 Goose Pub Kingswin Express,Convenience Central,MIDLANDS,"£6,181",189,£29.62,£2.50,11.9,130,1.5,23.4,98.90%,98.90%,7,9,3,1,3
6719 Sudbury Express,Convenience London,SOUTH EAST,"£2,911",106,£24.22,£2.73,8.9,71,1.5,25.6,95.30%,98.20%,7,11,4,1,4
6720 Princess Dr Express,Convenience North,NORTH WEST,"£11,970",399,£27.03,£2.69,10.1,265,1.5,30.9,94.60%,96.90%,8,14,4,1,4
6724 Chelmsford Marsham Arms Express,Convenience Central,SOUTH EAST,"£5,325",157,£30.88,£2.41,12.8,114,1.4,33.7,87.20%,99.10%,6,21,3,2,1
6727 Bradmore Express,Convenience Central,MIDLANDS,"£3,691",118,£28.21,£2.58,10.9,84,1.4,19.1,100.00%,99.30%,5,6,4,2,2
6728 Caerphilly Brynhyfryd Rd Express,Convenience South,WALES,"£6,453",199,£29.34,£2.56,11.5,139,1.4,27.7,96.50%,99.40%,7,12,4,2,3
6731 Hillhouse Express,Convenience North,WEST SCOTLAND,"£7,896",241,£29.77,£2.55,11.7,173,1.4,32.7,96.30%,98.30%,7,14,4,2,4
6734 Westbury On Trym Express,Convenience South,SOUTH CENTRAL,"£1,374",44,£28.21,£3.16,8.9,26,1.7,24.6,100.00%,99.30%,6,13,2,1,2
6737 Halifax School Ln Express,Convenience North,NORTH EAST,"£6,517",191,£31.05,£2.94,10.6,139,1.4,27.6,95.30%,98.60%,7,12,3,2,3
6738 Walton Hersham Rd Express,Convenience London,SOUTH EAST,"£6,886",224,£27.67,£2.67,10.4,156,1.4,26.7,96.90%,95.90%,6,13,4,1,3
6739 Welwyn Garden City Express,Convenience Central,SOUTH EAST,"£13,369",418,£28.95,£2.63,11,293,1.4,23.5,99.50%,99.40%,7,10,3,2,2
6740 Marine Wharf Express,Convenience London,GREATER LONDON,"£9,606",310,£27.93,£2.55,11,251,1.2,25.8,97.40%,98.20%,7,11,4,2,2
6741 Willenhall Rd Express,Convenience Central,MIDLANDS,"£7,908",234,£30.79,£2.63,11.7,177,1.3,24.6,97.00%,99.00%,7,9,4,1,3
6742 Windsor Express,Convenience South,SOUTH EAST,"£9,308",267,£31.69,£2.71,11.7,188,1.4,22.5,99.30%,99.40%,6,8,4,2,2
6743 Stanningley Half Mile Ln Express,Convenience North,NORTH EAST,"£5,807",178,£29.47,£3.08,9.6,120,1.5,26.5,96.60%,99.10%,8,11,3,2,2
6747 Chapel Ln Express,Convenience South,SOUTH EAST,"£1,683",63,£23.60,£2.68,8.8,43,1.5,21.7,100.00%,98.40%,5,10,3,2,1
6754 Cardiff Countisbury Express,Convenience South,WALES,"£16,259",500,£29.51,£2.79,10.6,327,1.5,24.8,98.60%,98.90%,8,9,3,2,3
6756 Mill Ln Express,Convenience North,NORTH WEST,"£7,181",231,£28.05,£2.62,10.7,166,1.4,29.8,95.60%,97.40%,8,12,4,1,4
6759 East Kilbride Express,Convenience North,WEST SCOTLAND,"£12,605",347,£33.28,£2.83,11.7,242,1.4,34.1,92.20%,98.00%,9,16,5,2,3
6760 Woodside Express,Convenience North,WEST SCOTLAND,"£12,786",368,£31.67,£2.52,12.6,257,1.4,30.8,97.00%,98.70%,7,13,5,3,4
6761 Shiremoor Cobalt Express,Convenience North,NORTH EAST,"£2,099",62,£30.82,£2.96,10.4,50,1.2,31.5,96.80%,98.20%,9,16,4,1,2
6765 Croydon Saffron Square Express,Convenience London,SOUTH EAST,"£2,501",83,£27.15,£2.65,10.2,64,1.3,30.9,95.30%,97.60%,7,15,4,2,3
6767 Liverpool Dale St Express,Convenience North,NORTH WEST,£128,6,£17.98,£2.29,7.8,6,1,47,80.00%,100.00%,6,31,6,1,4
6772 Fazakerley Longmoor Express,Convenience North,NORTH WEST,"£3,094",110,£24.94,£2.45,10.2,83,1.3,31,98.20%,97.70%,8,14,4,1,3
6774 Ashford High St Express,Convenience South,SOUTH EAST,"£11,182",367,£27.32,£2.43,11.2,268,1.4,32,95.70%,99.50%,11,13,3,2,3
6776 Dagenham Oxlow Ln Express,Convenience London,SOUTH EAST,"£5,664",188,£26.94,£2.68,10,123,1.5,20.4,99.50%,98.50%,5,10,3,1,2
6779 Welling Upper Wickham Express,Convenience London,SOUTH EAST,"£4,373",156,£24.92,£2.68,9.3,110,1.4,24,98.10%,97.40%,5,10,4,1,4
6782 Leicester Lutterworth Express,Convenience Central,MIDLANDS,"£3,507",112,£28.23,£2.76,10.2,79,1.4,26.4,100.00%,97.30%,9,10,4,1,3
6787 Clerkenwell Central St Express,Convenience London,GREATER LONDON,"£2,102",62,£30.80,£2.78,11.1,41,1.5,26.2,91.90%,99.00%,5,12,4,2,3
6789 Poole Ringwood Rd Express,Convenience South,SOUTH CENTRAL,"£3,561",123,£25.70,£2.45,10.5,94,1.3,30.1,95.10%,99.20%,5,18,3,2,1
6790 Summerstown Garratt Express,Convenience London,GREATER LONDON,"£1,816",58,£28.26,£2.94,9.6,38,1.5,27.6,91.50%,97.00%,5,16,4,1,2
6792 Gloucester Witcombe Express,Convenience Central,SOUTH CENTRAL,"£3,094",94,£29.70,£2.97,10,65,1.4,32.3,93.60%,98.20%,5,19,4,2,2
6793 Warley Hill Express,Convenience Central,SOUTH EAST,"£8,719",288,£27.21,£2.61,10.4,208,1.4,26.8,99.30%,95.60%,5,13,4,2,3
6795 Eastleigh Bishopstoke Express,Convenience South,SOUTH CENTRAL,"£4,504",121,£34.13,£2.71,12.6,82,1.5,28.6,94.20%,97.70%,6,12,5,2,4
6798 Barnsley Huddersfield Rd Express,Convenience North,NORTH EAST,"£5,340",169,£28.47,£2.79,10.2,121,1.4,28.6,99.40%,98.20%,7,11,6,2,3
6799 Sale Moor Norris Express,Convenience North,NORTH WEST,"£4,383",122,£33.05,£2.59,12.8,88,1.4,33.3,89.80%,97.60%,5,20,4,1,4
6803 New North Rd Express,Convenience London,GREATER LONDON,"£2,393",73,£29.62,£3.06,9.7,51,1.4,24.3,97.30%,98.50%,4,13,4,1,2
6809 Telford Hadley Centre Express,Convenience Central,MIDLANDS,"£7,178",236,£27.32,£2.56,10.7,155,1.5,28.1,96.70%,97.90%,7,12,3,2,3
6811 Havers Ln Express,Convenience Central,SOUTH EAST,"£7,456",239,£28.03,£2.66,10.5,171,1.4,34.3,86.90%,99.20%,6,21,3,2,3
6813 Southampton Witts Express,Convenience South,SOUTH CENTRAL,"£2,967",99,£26.93,£2.66,10.1,61,1.6,26,97.90%,98.40%,4,14,4,1,2
6817 High Wycombe Hatters Ln Express,Convenience South,SOUTH EAST,"£5,738",178,£29.12,£2.67,10.9,128,1.4,25.2,98.40%,99.40%,5,11,3,3,3
6818 Oxford Rd Express,Convenience South,SOUTH EAST,"£6,764",202,£30.37,£2.77,10.9,140,1.4,23.6,98.50%,99.50%,7,10,3,1,2
6819 Gloucester Southgate Express,Convenience Central,SOUTH CENTRAL,£790,26,£27.10,£2.27,11.9,20,1.3,29,100.00%,99.10%,4,16,4,3,2
6824 Great Northern Rd Express,Convenience North,EAST SCOTLAND,"£13,062",372,£32.17,£2.84,11.3,278,1.3,55.2,66.00%,97.70%,8,35,4,3,6
6826 Edgware Glengall Rd Express,Convenience London,SOUTH EAST,"£4,967",162,£27.68,£2.50,11.1,115,1.4,29.4,94.00%,99.10%,7,15,3,1,3
6827 Old Rd Express,Convenience South,SOUTH EAST,"£9,216",287,£29.07,£2.65,11,182,1.6,31.1,93.40%,99.30%,6,18,3,2,2
6830 Hythe Langdown Lawn Express,Convenience South,SOUTH CENTRAL,"£7,339",257,£25.46,£2.71,9.4,142,1.8,38.9,79.90%,99.00%,4,27,3,2,3
6832 Luton Eaton Green Express,Convenience Central,SOUTH EAST,"£5,017",150,£30.50,£2.52,12.1,100,1.5,22,100.00%,99.80%,6,8,4,2,2
6834 Reading Rd Express,Convenience South,SOUTH EAST,"£3,261",112,£25.99,£2.43,10.7,72,1.6,27.1,100.00%,100.00%,7,15,3,1,2
6835 Canterbury Rd Express,Convenience South,SOUTH EAST,"£4,113",121,£30.93,£2.45,12.6,90,1.3,32.5,92.60%,99.30%,6,18,3,2,4
6837 North Kensington Express,Convenience London,GREATER LONDON,"£3,388",112,£27.24,£2.60,10.5,80,1.4,30.7,93.80%,100.00%,7,17,3,2,1
6840 Southampton Thorn Express,Convenience South,SOUTH CENTRAL,"£5,601",182,£27.73,£2.44,11.4,131,1.4,25,97.30%,99.30%,6,10,3,2,4
6841 Southsea Express,Convenience South,SOUTH CENTRAL,"£2,828",88,£29.04,£2.38,12.2,65,1.4,22.9,100.00%,98.80%,4,8,5,3,3
6843 Sydenham Rd Express,Convenience London,GREATER LONDON,"£5,529",174,£28.71,£2.71,10.6,123,1.4,23.6,98.30%,99.10%,5,12,4,1,2
6845 Tottenham W Green Express,Convenience London,GREATER LONDON,"£3,324",116,£25.57,£2.29,11.1,90,1.3,33.4,92.00%,99.00%,7,18,4,1,3
6848 Congleton W Rd Express,Convenience Central,MIDLANDS,"£9,611",294,£29.50,£3.05,9.7,197,1.5,27.1,96.00%,99.20%,6,12,3,2,4
6850 Stenhouse Place Express,Convenience North,EAST SCOTLAND,"£13,653",391,£31.79,£2.90,11,276,1.4,33.8,92.60%,99.00%,7,19,4,2,2
6851 Herne Hill Express,Convenience London,GREATER LONDON,"£2,234",70,£28.79,£2.48,11.6,56,1.3,30.3,97.10%,97.20%,6,15,4,1,3
6852 Hurst Rd Express,Convenience Central,MIDLANDS,"£6,540",218,£26.86,£2.72,9.9,147,1.5,23.7,98.20%,98.30%,6,11,3,1,2
6853 Chesterfield Whittington Express,Convenience North,MIDLANDS,"£4,834",140,£31.44,£2.52,12.5,98,1.4,40.2,87.10%,98.30%,7,23,4,2,4
6854 Dominion Express,Convenience Central,MIDLANDS,"£3,182",86,£34.01,£2.77,12.3,59,1.5,29.5,98.80%,98.90%,7,15,3,2,2
